location_id,zone_name,borough,longitude,latitude
1,Newark Airport,EWR,-74.174002,40.691830
2,Jamaica Bay,Queens,-73.831300,40.616746
3,Allerton/Pelham Gardens,Bronx,-73.847422,40.864474
4,Alphabet City,Manhattan,-73.976968,40.723752
5,Arden Heights,Staten Island,-74.188485,40.552659
6,Arrochar/Fort Wadsworth,Staten Island,-74.071770,40.600324
7,Astoria,Queens,-73.919694,40.761493
8,Astoria Park,Queens,-73.923086,40.778559
9,Auburndale,Queens,-73.787949,40.751034
10,Baisley Park,Queens,-73.790987,40.678953
11,Bath Beach,Brooklyn,-74.007488,40.604273
12,Battery Park,Manhattan,-74.015563,40.702946
13,Battery Park City,Manhattan,-74.016079,40.712038
14,Bay Ridge,Brooklyn,-74.029893,40.624834
15,Bay Terrace/Fort Totten,Queens,-73.785973,40.783333
16,Bayside,Queens,-73.773421,40.762738
17,Bedford,Brooklyn,-73.949905,40.691507
18,Bedford Park,Bronx,-73.890184,40.867682
19,Bellerose,Queens,-73.726655,40.735487
20,Belmont,Bronx,-73.885867,40.857779
21,Bensonhurst East,Brooklyn,-73.983538,40.601429
22,Bensonhurst West,Brooklyn,-73.995259,40.612218
23,Bloomfield/Emerson Hill,Staten Island,-74.170885,40.606448
24,Bloomingdale,Manhattan,-73.965479,40.801971
25,Boerum Hill,Brooklyn,-73.986114,40.685634
26,Borough Park,Brooklyn,-73.988661,40.630949
27,Breezy Point/Fort Tilden/Riis Beach,Queens,-73.906912,40.559135
28,Briarwood/Jamaica Hills,Queens,-73.808729,40.711596
29,Brighton Beach,Brooklyn,-73.961217,40.580922
30,Broad Channel,Queens,-73.821928,40.603687
31,Bronx Park,Bronx,-73.875476,40.857746
32,Bronxdale,Bronx,-73.864901,40.864002
33,Brooklyn Heights,Brooklyn,-73.995250,40.695798
34,Brooklyn Navy Yard,Brooklyn,-73.971189,40.700856
35,Brownsville,Brooklyn,-73.910258,40.664003
36,Bushwick North,Brooklyn,-73.917710,40.700522
37,Bushwick South,Brooklyn,-73.922237,40.694994
38,Cambria Heights,Queens,-73.735554,40.694341
39,Canarsie,Brooklyn,-73.899735,40.638037
40,Carroll Gardens,Brooklyn,-73.995956,40.679199
41,Central Harlem,Manhattan,-73.951292,40.804334
42,Central Harlem North,Manhattan,-73.940772,40.818257
43,Central Park,Manhattan,-73.965555,40.782477
44,Charleston/Tottenville,Staten Island,-74.233535,40.525491
45,Chinatown,Manhattan,-73.998151,40.712459
46,City Island,Bronx,-73.781988,40.849086
47,Claremont/Bathgate,Bronx,-73.900317,40.842748
48,Clinton East,Manhattan,-73.989845,40.762253
49,Clinton Hill,Brooklyn,-73.962363,40.687967
50,Clinton West,Manhattan,-73.995135,40.766238
51,Co-Op City,Bronx,-73.828263,40.873972
52,Cobble Hill,Brooklyn,-73.996724,40.686651
53,College Point,Queens,-73.842813,40.780912
54,Columbia Street,Brooklyn,-74.002911,40.687201
55,Coney Island,Brooklyn,-73.987944,40.576961
56,Corona,Queens,-73.858845,40.741407
57,Corona,Queens,-73.853582,40.751819
58,Country Club,Bronx,-73.820393,40.841452
59,Crotona Park,Bronx,-73.894986,40.838550
60,Crotona Park East,Bronx,-73.885900,40.833990
61,Crown Heights North,Brooklyn,-73.939287,40.674470
62,Crown Heights South,Brooklyn,-73.948788,40.666541
63,Cypress Hills,Brooklyn,-73.878173,40.683840
64,Douglaston,Queens,-73.739337,40.760615
65,Downtown Brooklyn/MetroTech,Brooklyn,-73.986086,40.695337
66,DUMBO/Vinegar Hill,Brooklyn,-73.985702,40.702259
