zone_id,zone_name,min_longitude,max_longitude,min_latitude,max_latitude,priority
1,Manhattan Centro,-74.0100,-73.9400,40.7500,40.7900,2
2,Manhattan Norte,-73.9700,-73.9000,40.7900,40.8800,2
3,Manhattan Sur,-74.0250,-73.9700,40.7000,40.7500,2
4,Brooklyn Norte,-74.0000,-73.8500,40.6700,40.7300,2
5,Brooklyn Sur,-74.0500,-73.8400,40.5500,40.6700,2
6,Queens Centro,-73.9400,-73.8500,40.6800,40.7800,2
7,Queens Norte,-73.8500,-73.7000,40.5500,40.8000,2
8,Bronx,-73.9300,-73.7600,40.8000,40.9200,2
9,Aeropuerto LaGuardia,-73.8900,-73.8500,40.7600,40.7800,1
10,Aeropuerto JFK,-73.8250,-73.7450,40.6250,40.6800,1
11,Staten Island,-74.2700,-74.0500,40.4900,40.6500,2
12,Aeropuerto Newark,-74.2000,-74.1500,40.6800,40.7100,1
